"country","Year","Population","Yearly_Change_Pct","Median_Age","Fertility_Rate","Density","Urban_Pop_Pct","Urban_Population","Global_Rank","GDP_growth","CO2_total_tons","CO2_per_capita","CO2_change_pct","World_CO2_share","Energy_Per_Capita_kWh"
"India",2024,1450935791,0.89,28.4,1.96,488,36.6,530387142,1,6.49476552383821,3153829130,2.19,4.62,7.96,7812.9277
"India",2023,1438069596,0.89,28.1,1.98,484,36,518239122,1,9.19075493028345,3014522625,2.12,7.39,7.71,7529.4404
"India",2022,1425423212,0.81,27.7,1.99,479,35.5,506304869,1,7.60936497768895,2807080475,1.99,8.05,7.28,7057.1865
"India",2020,1402617695,1.1,27,2.05,472,34.4,483098640,2,-5.77772470686801,2356958991,1.7,-7.62,6.51,6268.4365
"India",2015,1328024498,1.32,25.3,2.29,447,32.3,429069459,2,7.99625378571471,2278229605,1.74,1.81,6.28,5943.0303
"India",2010,1243481564,1.49,23.6,2.6,418,30.6,380744554,2,8.49758470221235,1730054152,1.41,6.72,5.09,5024.5137
"India",2005,1154676322,1.77,22.2,2.96,388,29,334479406,2,7.92343062148318,1217727272,1.06,4.25,4.06,3991.0898
"India",2000,1057922733,1.96,21.2,3.35,356,27.5,291350282,2,3.84099115659129,996890915,0.95,3.67,3.88,3521.4302
"India",1995,960301044,2.11,20.3,3.65,323,26.6,255558824,2,7.57449183788519,796445176,0.83,7.07,3.36,3085.6135
"India",1990,864972221,2.28,19.7,4.04,291,25.7,222296728,2,5.53345456125301,600681182,0.69,5.36,2.65,2659.8555
"India",1985,772647793,2.37,19.3,4.43,260,24.6,190321782,2,5.25429922311382,431406262,0.55,4.49,2.14,2050.433
"India",1980,687354025,2.37,18.9,4.78,231,23.4,160941941,2,6.7358215288198,303571553,0.44,5.32,1.54,1772.884
"India",1975,611309535,2.29,18.4,5.2,206,21.7,132533810,2,9.14991201570659,251149006,0.4,6.48,1.45,1590.0476
"India",1970,545864268,2.18,18.1,5.62,184,20,109388950,2,5.15722973718955,212796111,0.38,0,1.35,1399.1405
"China",2024,1419321278,1.13,39.6,1.01,151,66.4,941865672,2,4.9773565917572,13124727993,9.13,0.79,33.12,34514.457
"China",2023,1422584933,1.13,39.1,1,152,65.1,926375811,2,5.41484330099675,13021241979,9.08,4.01,33.29,33089.07
